Cluster,Feature,Mean,Covariance,Weight
4,0,2.235225,0.128582 -0.000860 -0.000129 -0.000259 0.000222 -0.000263 0.000124 -0.000144 -0.000562 0.000104 0.200000
4,1,-7.209551,-0.000860 0.128973 0.000023 -0.000105 0.000375 -0.000387 0.000042 0.000280 -0.000123 -0.000819 0.200000
4,2,-4.158729,-0.000129 0.000023 0.128059 -0.000192 -0.000302 0.000576 -0.000779 0.000102 -0.000075 0.000001 0.200000
4,3,-2.671159,-0.000259 -0.000105 -0.000192 0.127701 0.001022 0.000563 -0.000466 0.000552 0.000577 0.000027 0.200000
4,4,-0.881346,0.000222 0.000375 -0.000302 0.001022 0.127826 -0.000443 -0.000092 0.000002 0.000117 0.000562 0.200000
4,5,5.702179,-0.000263 -0.000387 0.000576 0.000563 -0.000443 0.128293 0.000130 -0.000259 -0.000685 -0.000546 0.200000
4,6,-6.004971,0.000124 0.000042 -0.000779 -0.000466 -0.000092 0.000130 0.129078 0.000381 -0.000233 -0.000269 0.200000
4,7,0.286051,-0.000144 0.000280 0.000102 0.000552 0.000002 -0.000259 0.000381 0.128514 0.000047 -0.000393 0.200000
4,8,1.849618,-0.000562 -0.000123 -0.000075 0.000577 0.000117 -0.000685 -0.000233 0.000047 0.128890 0.000322 0.200000
4,9,-9.072154,0.000104 -0.000819 0.000001 0.000027 0.000562 -0.000546 -0.000269 -0.000393 0.000322 0.127905 0.200000
